% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.290856959900e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.623036850e+03 +4.730019793e+01 000900090 -1.2380e+00 +3.8376e+00 -2.5424e+00
2 1 +2.623036812e+03 +4.730019818e+01 000900090 -1.2380e+00 +3.8376e+00 -2.5424e+00
5 5 +9.973648151e+02 +2.757455356e+01 000900090 +6.3142e-01 +2.7534e+00 -3.2758e+00
9 9 +6.766261046e+02 +1.552348354e+01 000000090 +1.1412e+00 +2.5478e+00 -2.0637e+00
13 13 +1.225565265e+01 +9.964795693e+00 000000000 +1.1545e+00 +2.1289e+00 -1.4663e-01
21 21 +3.844307251e+00 +1.553450291e+00 000000000 +2.2650e+00 +2.0968e+00 +7.1191e-01
25 25 +1.431336912e+00 -8.595200477e-01 000000000 +2.7318e+00 +2.0864e+00 +1.0387e+00
29 29 +3.206264387e-01 -1.970230521e+00 000000000 +2.9796e+00 +2.0865e+00 +1.1616e+00
33 33 +1.527660282e-02 -2.275580357e+00 000000000 +3.0550e+00 +2.0865e+00 +1.2003e+00
37 37 +1.843293940e-03 -2.289013666e+00 000000000 +3.0588e+00 +2.0864e+00 +1.2030e+00
41 41 +1.840202618e-05 -2.290838558e+00 000000000 +3.0592e+00 +2.0864e+00 +1.2032e+00
42 41 +1.817818242e-05 -2.290838782e+00 000000000 +3.0592e+00 +2.0864e+00 +1.2032e+00
46 45 +1.777614085e-05 -2.290839184e+00 000000000 +3.0592e+00 +2.0864e+00 +1.2032e+00
49 49 +1.800330951e-07 -2.290856780e+00 000000000 +3.0592e+00 +2.0864e+00 +1.2032e+00
293 293 +1.800003702e-09 -2.290856958e+00 000000000 +3.0592e+00 +2.0864e+00 +1.2032e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.740893593600e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.705747254e+02 +7.011712138e+02 099000000 +4.7183e+00 -7.8287e-02 -1.9897e+00
4 3 +2.705745091e+02 +7.011712140e+02 099000000 +4.7183e+00 -7.8287e-02 -1.9897e+00
5 5 +2.512710169e+02 +7.001397258e+02 099000000 +4.6401e+00 -1.2380e-01 -1.9748e+00
9 9 +6.381178155e+01 +6.980819392e+02 009000000 +4.4732e+00 -1.9361e-01 -1.9547e+00
