% f evaluations | g evaluations | best noise-free fitness - Fopt (1.319521542129e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.958717565e+03 +2.138530933e+03 9 -7.7655e-01 -4.5250e+00 -3.5302e+00 +4.1327e+00 +3.8576e+00 +2.0559e+00 +1.7016e+00 -4.4397e-01 -2.5941e+00 +4.9221e+00 -1.8823e+00 -7.6174e-01 -3.4269e+00 +2.8928e+00 -1.4446e+00 -4.7888e+00 -3.1942e-01 +2.7739e+00 +2.4731e+00 +3.4395e+00
2 1 +2.958717565e+03 +2.138530932e+03 9 -7.7655e-01 -4.5250e+00 -3.5302e+00 +4.1327e+00 +3.8576e+00 +2.0559e+00 +1.7016e+00 -4.4397e-01 -2.5941e+00 +4.9221e+00 -1.8823e+00 -7.6174e-01 -3.4269e+00 +2.8928e+00 -1.4446e+00 -4.7888e+00 -3.1942e-01 +2.7739e+00 +2.4731e+00 +3.4395e+00
22 22 +1.379698785e+03 +8.432745979e+02 9 -9.1080e-01 -3.9655e+00 -3.5371e+00 +4.9957e+00 +2.8750e+00 +2.5876e+00 +1.2152e+00 -4.4179e-01 -2.1229e+00 +4.6002e+00 -1.1924e+00 -7.3879e-01 -3.0713e+00 +2.1313e+00 -1.1390e+00 -4.1825e+00 -1.5215e+00 +2.6337e+00 +2.1029e+00 +3.2799e+00
43 43 +1.423031681e+02 +8.193220063e+00 9 -9.9235e-01 -4.9928e+00 -3.5101e+00 +4.4251e+00 +1.2187e+00 +3.1172e-01 -2.8084e-01 -4.3757e-01 -2.6369e+00 +3.0263e+00 -2.1898e+00 -7.1398e-01 -2.6175e+00 -7.4706e-01 -2.2229e+00 +5.2511e-01 -4.9826e+00 +1.2759e+00 +2.2296e+00 +3.1531e+00
127 127 +5.296503073e+01 +6.849985929e+01 9 -9.4507e-01 -3.6431e+00 -3.2853e+00 +4.1757e+00 -6.2887e-01 -4.9535e-01 -3.9843e+00 -4.2051e-01 -2.3159e+00 +1.7087e+00 -3.1475e+00 -6.8291e-01 -2.5960e+00 -1.6312e+00 -8.7787e-01 +6.8880e-01 -8.6377e-01 +1.9157e+00 +2.1739e+00 +2.9511e+00
148 148 +5.028661364e+01 +7.121456644e+01 9 -9.1657e-01 -3.5942e+00 -3.2938e+00 +4.1072e+00 -1.3262e+00 -4.8193e-01 -4.1893e+00 -4.1897e-01 -2.5611e+00 +1.5590e+00 -3.3230e+00 -6.8390e-01 -2.6547e+00 -2.1355e+00 -7.7348e-01 +5.5111e-01 -1.5371e-01 +2.1262e+00 +2.2229e+00 +2.9664e+00
169 169 +1.867783244e+01 +1.072280424e+02 9 -8.8444e-01 -2.7482e+00 -3.5025e+00 +4.5617e+00 -1.3380e-02 -9.9615e-01 -4.2075e+00 -4.1276e-01 -2.3261e+00 +9.5998e-01 -2.4160e+00 -6.7658e-01 -2.2205e+00 -1.2827e+00 -1.9027e+00 +1.3827e+00 -5.0719e-01 +2.2744e+00 +2.3361e+00 +3.0776e+00
190 190 +1.074864078e+01 +1.174145589e+02 9 -8.7065e-01 -2.4008e+00 -3.4864e+00 +4.4011e+00 +3.6109e-01 -1.1634e+00 -4.1489e+00 -4.1218e-01 -2.3006e+00 +1.2321e+00 -2.1405e+00 -6.7738e-01 -2.1182e+00 -1.0583e+00 -1.9372e+00 +1.5287e+00 -8.7432e-01 +2.0627e+00 +2.3588e+00 +3.0986e+00
233 233 +6.126085469e+00 +1.235683909e+02 9 -9.8532e-01 -3.4288e+00 -3.4982e+00 +4.9400e+00 -1.5446e+00 -8.4115e-01 -4.8663e+00 -4.0792e-01 -2.9525e+00 -6.9826e-01 -2.9794e+00 -6.5336e-01 -1.9594e+00 -2.1614e+00 -1.3452e+00 +1.0584e+00 +1.8185e+00 +3.1650e+00 +1.9765e+00 +2.8686e+00
255 255 +1.602549208e+00 +1.335547034e+02 0 -9.3933e-01 -3.1914e+00 -3.4939e+00 +4.7055e+00 -1.4440e+00 -9.1415e-01 -4.6785e+00 -4.0867e-01 -2.8302e+00 -1.9661e-01 -2.8546e+00 -6.6119e-01 -2.0193e+00 -2.1708e+00 -1.3400e+00 +1.1459e+00 +1.4754e+00 +3.0324e+00 +2.1176e+00 +2.9439e+00
279 279 +1.490692031e+00 +1.334428462e+02 0 -9.3875e-01 -3.1821e+00 -3.4937e+00 +4.7025e+00 -1.4397e+00 -9.1623e-01 -4.6768e+00 -4.0866e-01 -2.8299e+00 -1.9063e-01 -2.8531e+00 -6.6125e-01 -2.0202e+00 -2.1685e+00 -1.3423e+00 +1.1463e+00 +1.4688e+00 +3.0253e+00 +2.1191e+00 +2.9445e+00
302 302 +2.330587334e-01 +1.316386824e+02 8 -9.4779e-01 -3.3280e+00 -3.4967e+00 +4.7518e+00 -1.5209e+00 -8.8257e-01 -4.7136e+00 -4.0868e-01 -2.8445e+00 -2.9278e-01 -2.8840e+00 -6.6013e-01 -2.0066e+00 -2.2138e+00 -1.3005e+00 +1.1286e+00 +1.5872e+00 +3.1203e+00 +2.0939e+00 +2.9329e+00
