% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.505259590400e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.777905429e+05 -8.551651754e+01 9900900999990090 -2.7468e+00 +1.6478e+00 +3.4599e+00 +6.3986e-01 +2.6024e+00 +1.8354e+00 +7.4355e-01 -2.0756e+00 -2.9593e+00 -2.0946e+00 -7.7047e-01 -3.5958e+00 +2.1958e-02 +4.3051e-01 -1.7753e+00 +4.2309e+00 -2.6045e+00 -1.9635e+00 +2.7915e+00 -3.7790e+00
5 4 +2.777905427e+05 -8.551651746e+01 9900900999990090 -2.7468e+00 +1.6478e+00 +3.4599e+00 +6.3986e-01 +2.6024e+00 +1.8354e+00 +7.4355e-01 -2.0756e+00 -2.9593e+00 -2.0946e+00 -7.7047e-01 -3.5958e+00 +2.1958e-02 +4.3051e-01 -1.7753e+00 +4.2309e+00 -2.6045e+00 -1.9635e+00 +2.7915e+00 -3.7790e+00
22 22 +1.997807367e+05 -1.713326597e+02 9900900999990090 -1.8220e+00 +1.5430e+00 +3.4601e+00 +2.1353e-01 +3.0875e+00 +1.7714e+00 +2.2754e+00 -2.2079e+00 -2.1352e+00 -2.3689e+00 +1.4690e+00 -3.4679e+00 +1.5447e-02 +9.1782e-01 -2.9509e+00 +1.4386e+00 -1.0631e+00 -3.8817e-01 +1.6997e+00 -4.9939e+00
43 43 +1.076289568e+05 -1.926940728e+02 9900900999990090 -5.5554e-01 +7.8106e-01 +2.9115e+00 +6.4417e-01 +2.5905e+00 +1.6578e+00 +2.8249e+00 -2.3632e+00 -6.7110e-01 -2.4064e+00 +3.9842e+00 -3.3186e+00 +7.0389e-02 +2.0875e+00 -4.9898e+00 -4.0071e-01 -3.9852e-02 +1.0617e+00 +2.1305e+00 -4.9806e+00
64 64 +5.514044975e+04 -2.008907406e+02 9900900999990090 +7.3468e-01 +1.0035e+00 +2.1219e+00 +4.8149e-01 +3.1736e+00 +2.1519e+00 +4.0615e+00 -2.7180e+00 -4.3228e-01 -2.5264e+00 +4.9949e+00 -2.5377e+00 -1.6718e-01 +2.5080e+00 -4.9428e+00 -2.3819e+00 +7.6213e-01 +2.3862e+00 +1.8253e+00 -4.9958e+00
85 85 +5.247715659e+03 -2.414774909e+02 9900900099990090 +1.7182e+00 +9.3085e-01 +1.5599e+00 +6.8388e-02 +3.7640e+00 +1.5814e+00 +4.5414e+00 -1.7773e+00 +6.5477e-01 -2.4152e+00 +4.6291e+00 -1.7291e+00 -9.0870e-01 +1.6949e+00 -4.9997e+00 -2.7988e+00 +1.8583e+00 +3.0734e+00 +1.0459e+00 -4.9915e+00
106 106 +7.193525804e+01 -2.785907010e+02 0000000000000000 +1.9269e+00 +5.5739e-01 +2.2454e+00 -1.0793e+00 +4.0958e+00 +3.5592e-01 +2.1935e+00 -1.3399e+00 +6.3003e-01 -1.6909e+00 +5.1247e-01 -1.4025e+00 -3.4378e-01 +1.5759e+00 -4.9846e+00 -2.7954e+00 +2.3679e+00 +4.1304e+00 -2.3093e-01 -4.9866e+00
127 127 +5.217776012e+01 -2.983481989e+02 0000000000000000 +1.8394e+00 +6.2541e-01 +2.0813e+00 -9.6422e-01 +3.9463e+00 +4.6452e-02 +2.7680e+00 -4.9095e-01 +1.3650e+00 -2.0028e+00 +1.5440e+00 -1.2710e+00 -9.0470e-01 +7.5219e-01 -4.9696e+00 -2.0390e+00 +2.3072e+00 +3.1138e+00 -5.5909e-01 -4.9818e+00
148 148 +1.960801105e+01 -3.309179480e+02 0000000000000000 +2.7422e+00 +7.0156e-01 +2.6399e+00 -2.5236e+00 +3.2539e+00 -7.2720e-01 +2.2546e+00 +9.3125e-01 +2.1514e+00 -2.3805e+00 +1.7893e+00 -4.3792e-01 +4.0955e-01 +7.5429e-01 -4.7144e+00 -2.0502e+00 +2.2740e+00 +2.5082e+00 -1.6070e+00 -4.9539e+00
169 169 +1.023533788e+01 -3.402906212e+02 0000000000000000 +3.5624e+00 +8.5297e-01 +2.1577e+00 -2.4670e+00 +3.4363e+00 -2.8581e-01 +2.7886e+00 +1.6317e+00 +2.3085e+00 -2.5509e+00 +1.1622e+00 +5.0088e-01 -3.2685e-01 +2.5438e-01 -3.6505e+00 -1.4461e+00 +2.3634e+00 +2.4840e+00 -2.1563e+00 -4.8923e+00
190 190 +4.836418772e+00 -3.456895403e+02 0000000000000000 +3.4639e+00 +1.2170e+00 +1.5532e+00 -2.9817e+00 +3.2644e+00 -9.4724e-01 +2.3742e+00 +1.7011e+00 +2.5942e+00 -2.5314e+00 +1.2979e+00 +6.4902e-01 +1.6372e-01 +3.5986e-02 -3.7526e+00 -1.9401e+00 +1.5510e+00 +1.9796e+00 -1.9145e+00 -3.6372e+00
211 211 +2.946723171e+00 -3.475792359e+02 0000000000000000 +3.4891e+00 +1.1086e+00 +1.5447e+00 -3.2108e+00 +3.1708e+00 -8.4419e-01 +2.2797e+00 +1.8721e+00 +2.6081e+00 -2.6742e+00 +1.3740e+00 +1.0033e+00 +3.4164e-01 -3.5061e-01 -3.8519e+00 -1.6799e+00 +1.8467e+00 +2.0961e+00 -2.1831e+00 -3.7709e+00
232 232 +2.397907394e+00 -3.481280516e+02 0000000000000000 +3.9281e+00 +1.0569e+00 +1.3173e+00 -3.6948e+00 +3.1756e+00 -9.8580e-01 +2.4579e+00 +2.1221e+00 +2.6455e+00 -2.6712e+00 +1.4922e+00 +1.6707e+00 +1.6953e-01 +7.5431e-02 -4.5900e+00 -1.3450e+00 +1.9400e+00 +1.8311e+00 -2.9055e+00 -4.0446e+00
