% f evaluations | g evaluations | best noise-free fitness - Fopt (1.014518788775e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.256153671e+05 +2.324803575e+02 999990990000999000090990999000009009909009990000000099900900090900 -2.4122e+00 -4.3589e+00 -3.5341e+00 +9.8179e-01 -3.4043e+00 +3.8480e+00 -1.9974e+00 +5.6257e-02 +2.4175e+00 -3.2159e+00 -8.8339e-01 -4.7136e+00 -2.7113e+00 -1.2221e+00 +2.8701e+00 -1.5429e-01 +2.1731e-01 -2.6007e+00 +2.5065e+00 +1.6353e+00
3 2 +5.256153667e+05 +2.324803576e+02 999990990000999000090990999000009009909009990000000099900900090900 -2.4122e+00 -4.3589e+00 -3.5341e+00 +9.8179e-01 -3.4043e+00 +3.8480e+00 -1.9974e+00 +5.6257e-02 +2.4175e+00 -3.2159e+00 -8.8339e-01 -4.7136e+00 -2.7113e+00 -1.2221e+00 +2.8701e+00 -1.5429e-01 +2.1731e-01 -2.6007e+00 +2.5065e+00 +1.6353e+00
22 22 +4.809446464e+05 +2.065369407e+02 999990990000999000090990999000009009909009990000000099900900090900 -2.0835e+00 -4.1518e+00 -2.8991e+00 +8.9438e-01 -3.3136e+00 +3.6155e+00 -2.0114e+00 +8.7371e-02 +2.2144e+00 -2.9815e+00 -8.6346e-01 -4.3055e+00 -2.5195e+00 -1.3624e+00 +2.3736e+00 +2.1203e-02 +3.7866e-01 -2.5503e+00 +2.1095e+00 +1.3386e+00
43 43 +4.015466578e+05 +1.687726188e+02 999990990000999000090990999000009009909009990000000099900900090900 -1.4992e+00 -3.7835e+00 -1.7701e+00 +7.3923e-01 -3.1522e+00 +3.2019e+00 -2.0366e+00 +1.4272e-01 +1.8536e+00 -2.5646e+00 -8.2825e-01 -3.5799e+00 -2.1785e+00 -1.6121e+00 +1.4907e+00 +3.3319e-01 +6.6514e-01 -2.4604e+00 +1.4035e+00 +8.1119e-01
64 64 +3.431290875e+05 +1.472998211e+02 999990990000999000090990999000009009909009990000000099900900090900 -1.0693e+00 -3.5128e+00 -9.3943e-01 +6.2496e-01 -3.0334e+00 +2.8976e+00 -2.0551e+00 +1.8341e-01 +1.5879e+00 -2.2580e+00 -8.0213e-01 -3.0461e+00 -1.9274e+00 -1.7957e+00 +8.4125e-01 +5.6259e-01 +8.7590e-01 -2.3946e+00 +8.8413e-01 +4.2308e-01
85 85 +2.750742336e+05 +1.283823417e+02 999990990000999000090990999000009009909009990000000099900900090900 -5.6884e-01 -3.1996e+00 +2.7537e-02 +4.8945e-01 -2.8949e+00 +2.5437e+00 -2.0778e+00 +2.2985e-01 +1.2785e+00 -1.9026e+00 -7.6998e-01 -2.4247e+00 -1.6338e+00 -2.0072e+00 +8.6633e-02 +8.2897e-01 +1.1201e+00 -2.3201e+00 +2.7973e-01 -2.8718e-02
127 127 +2.691144314e+05 +1.270768679e+02 999990990000999000090990999000009009909009990000000099900900090900 -5.2592e-01 -3.1774e+00 +1.0993e-01 +4.7137e-01 -2.8818e+00 +2.5147e+00 -2.0825e+00 +2.3170e-01 +1.2517e+00 -1.8758e+00 -7.6205e-01 -2.3714e+00 -1.6048e+00 -2.0192e+00 +2.6660e-02 +8.4955e-01 +1.1381e+00 -2.3196e+00 +2.2948e-01 -6.7374e-02
148 148 +2.577996296e+05 +1.247875753e+02 999990990000999000090990999000009009909009990000000099900900090900 -4.4593e-01 -3.1427e+00 +2.6300e-01 +4.2772e-01 -2.8548e+00 +2.4621e+00 -2.0949e+00 +2.3252e-01 +1.2026e+00 -1.8310e+00 -7.3992e-01 -2.2733e+00 -1.5457e+00 -2.0329e+00 -7.9605e-02 +8.8550e-01 +1.1685e+00 -2.3274e+00 +1.3807e-01 -1.3898e-01
169 169 +2.345252905e+05 +1.205506979e+02 999990990000999000090990999000009009909009990000000099900900090900 -2.8263e-01 -3.0776e+00 +5.7508e-01 +3.3029e-01 -2.7976e+00 +2.3563e+00 -2.1237e+00 +2.3181e-01 +1.1023e+00 -1.7441e+00 -6.8829e-01 -2.0736e+00 -1.4203e+00 -2.0536e+00 -2.9141e-01 +9.5648e-01 +1.2274e+00 -2.3508e+00 -4.6512e-02 -2.8477e-01
190 190 +1.963895370e+05 +1.148449550e+02 999990990000999000090990999000009009909009990000000099900900090900 -1.8286e-02 -2.9875e+00 +1.0793e+00 +1.4980e-01 -2.6995e+00 +2.1889e+00 -2.1802e+00 +2.2389e-01 +9.4045e-01 -1.6164e+00 -5.8783e-01 -1.7523e+00 -1.2055e+00 -2.0668e+00 -6.2118e-01 +1.0652e+00 +1.3145e+00 -2.4088e+00 -3.4022e-01 -5.1868e-01
